threshold,accuracy,precision,recall,f1,f2
0.5899999999999997,0.7658421672555948,0.44430788139499156,0.6812720848056537,0.5378463827413056,0.6156073055472775
0.13999999999999999,0.3826619552414605,0.24312724741909292,0.9875147232037691,0.39018941685670405,0.6124715095552569
0.5999999999999998,0.7725323910482921,0.4533077046291847,0.6666666666666666,0.5396643783371472,0.609309736037549
0.13,0.3662661955241461,0.23852533515110202,0.9891637220259129,0.38436541718156436,0.6070726347443904
0.12,0.3477974087161366,0.23353692393114936,0.9908127208480565,0.377982475848124,0.6010288653901115
0.6099999999999998,0.7785630153121319,0.4617711309023694,0.6473498233215548,0.5390349156531973,0.5991888709607082
0.11,0.32584216725559484,0.228,0.9936395759717315,0.3708947021323368,0.5944193912063134
0.6199999999999998,0.7853003533568904,0.47227159616068254,0.6259128386336867,0.5383446459325296,0.5876758382730248
0.1,0.29983510011778564,0.22162785819173483,0.9955241460541814,0.36254450306695835,0.5861628939192188
0.6299999999999998,0.7900588928150766,0.4803647868974502,0.6080094228504123,0.536702017051362,0.5773274280857156
0.6399999999999997,0.7943934040047115,0.48842637619140244,0.5915194346289753,0.5350522054123162,0.5675602368789838
0.6499999999999997,0.7971731448763251,0.4939098660170524,0.5731448763250884,0.5305855413804383,0.5553273075869625
0.6599999999999997,0.8002355712603062,0.5005295488244016,0.5566548881036514,0.5271023867945572,0.5444449564536197
0.6699999999999997,0.8027797408716136,0.5065540990890913,0.5371024734982333,0.521381202835582,0.5307015502071598
0.6799999999999997,0.805889281507656,0.5146817007282124,0.5161366313309776,0.5154081392613503,0.515844987521778
0.6899999999999997,0.8101766784452297,0.5268790443006471,0.49870435806831565,0.5124046956311267,0.5040956281550624
0.6999999999999997,0.8126266195524146,0.5352446081009995,0.4793875147232038,0.5057785510127998,0.48960639014531804
0.7099999999999997,0.814040047114252,0.5414579855314413,0.4584216725559482,0.4964918994769741,0.4729269952367065
0.7199999999999998,0.8151236749116608,0.5482997291603973,0.4292108362779741,0.48150105708245244,0.4487021622420332
0.7299999999999996,0.8159717314487632,0.5565188396132044,0.39316843345111896,0.46079514080618444,0.41768857300165174
0.7399999999999997,0.816866902237927,0.5665922619047619,0.35877502944640755,0.4393480455791144,0.38717714053284524
0.7499999999999997,0.8179034157832744,0.5773615635179153,0.33404004711425206,0.42322041486345324,0.3647869932084791
0.7599999999999997,0.8181389870435807,0.5873808443032229,0.30482921083627795,0.40136476426799006,0.33727779805035707
0.7699999999999997,0.8187985865724382,0.6031007751937985,0.27491166077738516,0.37766990291262137,0.3084853291038858
0.7799999999999997,0.8190812720848056,0.6238532110091743,0.24028268551236748,0.3469387755102041,0.273972602739726
0.7899999999999997,0.817620730270907,0.6345323741007194,0.207773851590106,0.3130434782608696,0.24006532389765922
0.7999999999999996,0.8169140164899882,0.6540772532188841,0.17950530035335688,0.28170055452865067,0.2099751997795536
0.8099999999999996,0.8149352179034158,0.6580259222333001,0.15547703180212014,0.25152439024390244,0.18350664516487794
0.8199999999999996,0.8131919905771496,0.66548463356974,0.13262661955241462,0.2211746218817521,0.15791540446538763
0.8299999999999996,0.8113545347467609,0.6834094368340944,0.10577149587750294,0.1831905344757242,0.12728922152293473
0.8399999999999996,0.809281507656066,0.6989898989898989,0.08150765606595996,0.1459915611814346,0.09899856938483548
0.8499999999999996,0.8077738515901061,0.7176781002638523,0.064075382803298,0.11764705882352941,0.07834552681606083
0.8599999999999997,0.8051354534746761,0.6981818181818182,0.045229681978798585,0.08495575221238938,0.05563604752245726
0.8699999999999997,0.8032508833922262,0.6906077348066298,0.02944640753828033,0.05648441030275644,0.03641978905658178
0.8799999999999997,0.8024970553592462,0.7387387387387387,0.019316843345111898,0.03764921946740129,0.023989234099818617
0.8899999999999996,0.8011778563015313,0.7777777777777778,0.008244994110718492,0.016317016317016316,0.010279001468428781
0.8999999999999996,0.8002826855123675,0.8,0.001884570082449941,0.0037602820211515863,0.002354326074161271
