cluster,feature,mean,global_mean,delta,abs_delta
2,Sex,0.3911009146617563,0.4813212715393034,-0.09022035687754709,0.09022035687754709
2,Other_Cancer,0.15611132912729797,0.09673826468169426,0.05937306444560371,0.05937306444560371
2,FriedPotato_Consumption,-0.020829864290097047,5.52138734102275e-17,-0.020829864290097103,0.020829864290097103
2,Skin_Cancer,0.10927642104627645,0.09711384667189028,0.01216257437438617,0.01216257437438617
3,Height_(cm),-0.7717756766185546,-5.668624336783357e-16,-0.7717756766185541,0.7717756766185541
3,BMI,-0.40095991895155597,4.468642821334412e-16,-0.4009599189515564,0.4009599189515564
3,Sex,0.10327562797012899,0.4813212715393034,-0.37804564356917436,0.37804564356917436
3,General_Health,2.900058190282223,2.5304480434120977,0.36961014687012517,0.36961014687012517
3,Alcohol_Consumption,-0.33595571182703615,-6.478427813466693e-17,-0.3359557118270361,0.3359557118270361
3,FriedPotato_Consumption,-0.22954045508443743,5.52138734102275e-17,-0.2295404550844375,0.2295404550844375
3,Fruit_Consumption,-0.22630514576521216,4.601156117518958e-17,-0.2263051457652122,0.2263051457652122
3,Green_Vegetables_Consumption,-0.1478492986424782,-1.9140809448878867e-17,-0.14784929864247817,0.14784929864247817
3,Checkup,3.7180438366792745,3.617981311558212,0.1000625251210625,0.1000625251210625
3,Smoking_History,0.3309087382407138,0.40557674499925533,-0.07466800675854152,0.07466800675854152
3,Diabetes,0.08578217437687906,0.13863184546743768,-0.05284967109055862,0.05284967109055862
3,Age_Category,1.1512826108039957,1.1110686602731388,0.04021395053085697,0.04021395053085697
3,Heart_Disease,0.04297594801668121,0.08085049894124732,-0.03787455092456611,0.03787455092456611
3,Arthritis,0.2911211327708273,0.32724523561294333,-0.036124102842116035,0.036124102842116035
3,Exercise,0.8059960236640481,0.7750620034061401,0.030934020257908035,0.030934020257908035
3,Depression,0.18479051498399768,0.20042155840623724,-0.01563104342223956,0.01563104342223956
3,Other_Cancer,0.08949180486858695,0.09673826468169426,-0.007246459813107314,0.007246459813107314
3,Skin_Cancer,0.09109203762971584,0.09711384667189028,-0.0060218090421744475,0.0060218090421744475
4,Height_(cm),0.9103961329662744,-5.668624336783357e-16,0.910396132966275,0.910396132966275
4,Sex,0.9170951311946315,0.4813212715393034,0.4357738596553281,0.4357738596553281
4,Fruit_Consumption,-0.3317112244804251,4.601156117518958e-17,-0.33171122448042517,0.33171122448042517
4,General_Health,2.8483959736403794,2.5304480434120977,0.3179479302282817,0.3179479302282817
4,FriedPotato_Consumption,0.3130930982672273,5.52138734102275e-17,0.31309309826722725,0.31309309826722725
4,Checkup,3.3379317836193785,3.617981311558212,-0.28004952793883353,0.28004952793883353
4,Age_Category,0.8425905810220388,1.1110686602731388,-0.2684780792511,0.2684780792511
4,Green_Vegetables_Consumption,-0.25450094303537046,-1.9140809448878867e-17,-0.25450094303537046,0.25450094303537046
4,Alcohol_Consumption,-0.23474318766954505,-6.478427813466693e-17,-0.234743187669545,0.234743187669545
4,BMI,-0.14153575673251298,4.468642821334412e-16,-0.14153575673251342,0.14153575673251342
4,Arthritis,0.18690708957925992,0.32724523561294333,-0.14033814603368341,0.14033814603368341
4,Depression,0.12888937166582182,0.20042155840623724,-0.07153218674041542,0.07153218674041542
4,Exercise,0.843314746421416,0.7750620034061401,0.06825274301527595,0.06825274301527595
4,Diabetes,0.08020131798102687,0.13863184546743768,-0.05843052748641081,0.05843052748641081
4,Other_Cancer,0.05495208438940787,0.09673826468169426,-0.04178618029228639,0.04178618029228639
4,Skin_Cancer,0.07081130663576894,0.09711384667189028,-0.02630254003612134,0.02630254003612134
4,Heart_Disease,0.054650348806334036,0.08085049894124732,-0.026200150134913287,0.026200150134913287
4,Smoking_History,0.38824920945277236,0.40557674499925533,-0.017327535546482975,0.017327535546482975
